customer_unique_id,recency,R,frequency,F,monetary,M,score,RFM_level
0005e1862207bf6ccc02e4228effd9a0,548,0,1,0,135.0,0,0,Ruim
000fbf0473c10fc1ab6f8d2d286ce20c,39,4,4,2,285.79999999999995,1,7,Ótimo
0011805441c0d1b68b48002f1d005526,497,0,1,0,269.0,1,1,Ruim
0011857aff0e5871ce5eb429f21cdaf5,432,1,1,0,174.33,1,2,Regular
0028a7d8db7b0247652509358ad8d755,264,2,1,0,274.0,1,3,Regular
00293787e2aec37a9c253b63fdfe2049,311,2,2,1,237.8,1,4,Bom
003162bf0351f47a1a247992b8b9b42d,51,4,1,0,514.9,2,6,Ótimo
0035029989e6fc5cf030918a5f9f2037,114,3,2,1,438.0,1,5,Muito bom
0037aa56b017c105c3a9d47af71fff98,220,2,1,0,425.0,1,3,Regular
003db7adfcdc49857b095a50191b6c9d,124,3,1,0,524.9,2,5,Muito bom
004177f7bf62929186b32c7fdaa6157b,319,2,2,1,393.98,1,4,Bom
004256f082951ec189a4962b6788c214,164,3,1,0,245.0,1,4,Bom
0045e9ad4d6c85d2323a7ab374b76183,76,4,1,0,5.9,0,4,Bom
004df63539fd5e38d4b0a0506de7549c,49,4,1,0,949.99,2,6,Ótimo
00522457bba00bba576a34fd9b4808fd,520,0,1,0,103.97,0,0,Ruim
005226be8d5b972d0f72b4e8a79f322b,155,3,1,0,1561.0,3,6,Ótimo
0055b522bc89cbfbf376d8b59a628470,549,0,1,0,328.0,1,1,Ruim
005f060d4223956c62b64e9567a36f0f,104,4,1,0,689.0,2,6,Ótimo
0064a1b5f5cddd047c987b988a90c8c1,186,3,4,2,215.6,1,6,Ótimo
00776f3807b128beca64cd0b27138d92,347,1,1,0,294.99,1,2,Regular
0077dc76aaf02323f03bce9b00878253,176,3,1,0,849.5,2,5,Muito bom
0085139b503668b3addcfe826d91be8d,216,2,3,2,465.88,1,5,Muito bom
0085d749fc64f766ece1729464f8039a,166,3,1,0,330.0,1,4,Bom
008f3d5f45a11059239a5c452cd00006,585,0,1,0,309.9,1,1,Ruim
0093c499f4f9c0e169ead490aa62ce3e,448,1,1,0,210.0,1,2,Regular
00941614a654458b888b8780815bd26c,523,0,1,0,174.0,1,1,Ruim
0096c18412349537abc45e350581cbbc,538,0,4,2,679.6,2,4,Bom
0097fca0db567f5ca79509b7b4fc1c2d,137,3,7,3,172.13999999999996,1,7,Ótimo
00ac9cd5c4ad19e16e7c6f6864711737,493,0,1,0,209.9,1,1,Ruim
00adeda9b742746c0c66e10d00ea1b74,300,2,2,1,2078.5,3,6,Ótimo
00ae50eb5e1d2514f694dee1dcbbd5ae,116,3,5,3,213.5,1,7,Ótimo
00bee19e1199bc5cede1c674177b9e22,290,2,1,0,649.9,2,4,Bom
00c05fe9d2f8b245f1f86fe559175f24,81,4,1,0,338.0,1,5,Muito bom
00c07da5ba0e07b4f248a3a373b07476,38,4,1,0,2258.0,3,7,Ótimo
00c3624c55261d9ce593f30e3815a880,534,0,2,1,380.0,1,2,Regular
00cc7c54469f4177319d6bb12e883652,503,0,1,0,157.9,0,0,Ruim
00d8ba74be3eee415fe4508fdd325ee5,215,2,1,0,340.0,1,3,Regular
00db0070b3c3bd0215072323c8499407,134,3,1,0,334.9,1,4,Bom
00e872ca2fc94e59982286e69f186e0e,387,1,1,0,399.9,1,2,Regular
00eca7e1c994897d0a31bf75478f4b55,548,0,2,1,327.98,1,2,Regular
0104d8ef04b9df2891e69bc0e2e6dca4,508,0,1,0,430.0,1,1,Ruim
011875f0176909c5cf0b14a9138bb691,534,0,1,0,3999.9,4,4,Bom
011b4adcd54683b480c4d841250a987f,200,3,3,2,183.43,1,6,Ótimo
011c3e6b4b11fa8a326a39e78deb6e66,545,0,1,0,7.87,0,0,Ruim
011fd4914a2d19b2a0e50c29cea5c6a2,485,0,1,0,229.99,1,1,Ruim
012755131a5b785b0ae3291c339a9051,163,3,2,1,358.98,1,5,Muito bom
0129d48dce554d95f641d01eaa88904a,172,3,1,0,1390.0,3,6,Ótimo
012a218df8995d3ec3bb221828360c86,77,4,2,1,1429.8000000000002,3,8,Ótimo
013341d7f8accddf42fc02f001ad341d,371,1,1,0,610.0,2,3,Regular
014410afdd8e0393ec17e9d8488449e0,192,3,1,0,699.0,2,5,Muito bom
015fcc1fe9d3319fb41b08e986684598,436,1,1,0,269.99,1,2,Regular
0167a6f5d58d5632b42c44e7f66f2abf,230,2,1,0,389.89,1,3,Regular
016846e2dd862cba9a2a10eff5ac244f,479,0,2,1,399.98,1,2,Regular
01726e5d6a88d1a8dffd9578872ce54e,201,3,2,1,779.8,2,6,Ótimo
017adfe7897c78902d9f7d58cd855990,384,1,1,0,239.9,1,2,Regular
01858f2fad256b1689f5bdafc059f745,34,4,1,0,1799.0,3,7,Ótimo
0199360d5869b53eece5870f3bd1ef0e,471,0,1,0,740.0,2,2,Regular
019ac5580a897d52e5ed6f7ed89ade27,362,1,3,2,1287.0,3,6,Ótimo
019e6c1c524669436535388a1cd5cefd,403,1,1,0,369.9,1,2,Regular
019ed386aec9ff0f9eab4a590231174e,34,4,6,3,839.4,2,9,Ótimo
019fcfdd0b0ec239cc2b536428064c47,55,4,2,1,311.9,1,6,Ótimo
01a013f2d3d7b0fa074a09d3e6e7b611,508,0,1,0,289.9,1,1,Ruim
01a17507586f0f10f52e7e86ac73e1f7,73,4,1,0,479.0,2,6,Ótimo
01b3e064c4fc4372a269bdc02c131850,7,4,1,0,274.9,1,5,Muito bom
01b466cc9a9e663eb04f4b8890dbc5f1,326,2,1,0,799.99,2,4,Bom
01cd1ef6c24558b19ce2dab8801fabcb,166,3,1,0,674.9,2,5,Muito bom
01cd5bbfc2ee49abdafb429522b93fce,319,2,1,0,7.5,0,2,Regular
01e019838e4e21dd66bb6f69352334f8,275,2,1,0,359.0,1,3,Regular
01e123d7c7cedf12af483fc17258b9ce,87,4,4,2,790.0,2,8,Ótimo
01ecdc37f767e85f5b3fd2310a289253,20,4,1,0,659.99,2,6,Ótimo
01ef3ec35f556231aee2f73e8bc6f8a0,334,1,1,0,219.9,1,2,Regular
01f156677184504063bd19739f924af1,693,0,1,0,739.98,2,2,Regular
01f2285f85a1c603eb7ef755ad311769,95,4,2,1,428.0,1,6,Ótimo
01f2c78d8578f27b62ca1186752e1532,277,2,1,0,369.0,1,3,Regular
02054940ff45a170ddd0acca60575eea,221,2,1,0,224.5,1,3,Regular
0205ecc1296100f97f4ae03e22643b8e,118,3,1,0,410.0,1,4,Bom
0209a0a5c96cc50dd1bbe71e3730af2a,469,0,6,3,169.8,1,4,Bom
0209f290b5451d357308bc0e90521026,43,4,6,3,572.64,2,9,Ótimo
020ae51ab502504a00ab6ccbac53bfa6,20,4,1,0,799.9,2,6,Ótimo
021ac5734c4f62601583998bf0de4e03,105,4,1,0,728.0,2,6,Ótimo
0228e299d1cabeaf9be64b5ccd784c97,409,1,1,0,1099.0,2,3,Regular
0247fad5e7e46592d7216d01e9a2d7f6,554,0,1,0,188.99,1,1,Ruim
025cf7c2f32536f0be1ab412bb6602d2,17,4,1,0,1788.0,3,7,Ótimo
02678f5b6207663512dd9cd96af14f0d,137,3,2,1,440.99,1,5,Muito bom
026cc430843b605b4b5515751f4fe5d3,62,4,4,2,736.0,2,8,Ótimo
02798e1b3a37c163dffad98b3c6de007,39,4,1,0,585.0,2,6,Ótimo
027d5c59887b8a32f409adb105c9cee8,410,1,1,0,299.0,1,2,Regular
02844e55117602121bb79fe70a59522a,455,1,1,0,547.9,2,3,Regular
028610eb2f6daf6bb4c37e1bd2b42210,398,1,1,0,439.0,1,2,Regular
028c09f007292c4e3a3b10d296e47987,170,3,2,1,360.0,1,5,Muito bom
029d944cf2f7fc6640e877c5c3612509,88,4,1,0,378.0,1,5,Muito bom
02a2a0a9627a062602de754d75038ce4,26,4,1,0,502.0,2,6,Ótimo
02b6ef845021b8fefe19c8d200f3ee06,154,3,1,0,1914.58,3,6,Ótimo
02c661a1832c392b81d7ba1ebddf8796,361,1,5,3,200.0,1,5,Muito bom
02ccceb879088a0253e1e46e0200bdb8,26,4,1,0,2338.08,3,7,Ótimo
02d2056f0b969ca57a94ae2c1793e3cd,296,2,1,0,698.9,2,4,Bom
02dd4969c23207b44ef9252dd7ef59f8,487,0,2,1,278.9,1,2,Regular
02de760072b85fac1d78e167227a03fc,234,2,1,0,388.0,1,3,Regular
02e698078df64c35152a88cfe52d29fe,469,0,1,0,449.0,1,1,Ruim
02e8a66528e84b3ca6150d9b1e03a26f,71,4,1,0,2110.0,3,7,Ótimo
02e8d64ed3a2d66ec146674efbfe3dd3,323,2,1,0,799.99,2,4,Bom
02e9109b7e0a985108b43e573b6afb23,112,3,5,3,532.87,2,8,Ótimo
02ff3aee636a9ee1c1fef271daa0bc07,160,3,5,3,907.82,2,8,Ótimo
0306e708bc20c7e3517227bbffbe5959,589,0,1,0,184.99,1,1,Ruim
030a810edeec1ceea314282513023587,482,0,1,0,2740.0,4,4,Bom
030df4046f9f9e7fc4531b24b1e853fc,27,4,2,1,276.0,1,6,Ótimo
031167ec9bd578be0d73db1886891745,207,3,1,0,780.0,2,5,Muito bom
0313291a6f4f16df04dcf819d88c38ef,694,0,1,0,95.0,0,0,Ruim
0318f66ddf6aa615fdb10d6d7b596194,106,4,1,0,765.0,2,6,Ótimo
031b6bf06cc2c9391a8a403cef221a1a,473,0,1,0,775.0,2,2,Regular
031cc9f0c34aac1349d8a7fca3814d70,320,2,5,3,599.9499999999999,2,7,Ótimo
0326524848da9311350236471586bd61,551,0,1,0,1800.0,3,3,Regular
032b3a42598667caf2e099999b9dc1b9,41,4,3,2,387.7,1,7,Ótimo
032c36a3e0e337f241a5910aa6ef3077,358,1,3,2,223.38,1,4,Bom
0333a3c96c9fa77a1f291132ecaea177,335,1,1,0,615.0,2,3,Regular
0339d63f73ee6160ed3a7a6534ee2efe,411,1,2,1,390.0,1,3,Regular
0341bbd5c969923a0f801b9e2d10a7b8,96,4,6,3,1828.44,3,10,Ótimo
03459ab284a12b6d17eaf5b9c1c5b357,48,4,1,0,485.9,2,6,Ótimo
034917dc638e05834a69e3c5417fd57d,435,1,6,3,221.4,1,5,Muito bom
03557ec3821accd6a8dcd5f94933752a,488,0,1,0,360.0,1,1,Ruim
0361e980b28826f4d286ac144d9b319a,64,4,4,2,309.0,1,7,Ótimo
0366651462307b0703818560d1472f9d,71,4,1,0,599.98,2,6,Ótimo
03796b63235e0e0a299084988c662c7e,559,0,1,0,3549.0,4,4,Bom
0379a6f96d9befaf749609ba52b17783,590,0,5,3,398.05,1,4,Bom
037ebbb3507dc1717f22ee973771c9d8,296,2,7,3,210.92999999999998,1,6,Ótimo
03811020285557aa63dfcfe1f1164df1,55,4,1,0,239.9,1,5,Muito bom
038301b43811478e1a8dc0e476eaf52e,144,3,2,1,607.0,2,6,Ótimo
038a113bd44096b673f1071b5f39a587,469,0,1,0,849.0,2,2,Regular
038ef20f6de6a3294fb0e4e380f2b2a2,200,3,1,0,780.0,2,5,Muito bom
0398b8575daf8b69af233f7b7c39fb02,232,2,1,0,234.9,1,3,Regular
039ddbe14ea350d861b9422a9ca43b0b,426,1,2,1,240.0,1,3,Regular
03a16903ce59b2a70fa5641a3ea83199,160,3,1,0,245.0,1,4,Bom
03a7a36e23016fe4e8d04f751b51937a,485,0,1,0,329.9,1,1,Ruim
03a7ce913dd0cfe59f041029fdd9f326,162,3,1,0,295.0,1,4,Bom
03adb96012772d4374285b6a701f3da9,386,1,2,1,2159.98,3,5,Muito bom
03afd66153996e8fa15a07013b2d040f,561,0,1,0,144.9,0,0,Ruim
03c30046bcd7d616fd8bab4f77ccabb2,162,3,1,0,469.0,2,5,Muito bom
03c4286232d282681d979387068e1d34,54,4,2,1,430.3,1,6,Ótimo
03d8e50ab83b5e43e11d51bbadb8b0bd,589,0,1,0,69.9,0,0,Ruim
03dcb7b1479590ad3188549f8ebfa66e,294,2,1,0,341.4,1,3,Regular
03f3956529aac8ab54669986dbccdea5,283,2,1,0,714.3,2,4,Bom
03f8cc5eb864ffa50cb73bdf07a7b1e9,261,2,1,0,439.0,1,3,Regular
03f923dbcd3b3c763b22b24db6072d27,30,4,1,0,310.0,1,5,Muito bom
03fbe2c196c3f0812a34c264dcc617a2,48,4,1,0,265.0,1,5,Muito bom
03fe4b83d144beca992a5e3cffbdb5e6,236,2,2,1,1554.0,3,6,Ótimo
03ffd4dd8a22ac7d1e9a70fcb717ca46,377,1,1,0,420.0,1,2,Regular
0413088a3122f7d9f8b064a7cd57f5e8,351,1,1,0,645.99,2,3,Regular
0421e7a23f21e5d54efed456aedbc513,5,4,1,0,109.9,0,4,Bom
0422bf9c5455d76bf0906b94b42bdc2c,82,4,1,0,295.0,1,5,Muito bom
0424c5ebdb5ce70bcd7b596efb17b561,540,0,1,0,1309.99,3,3,Regular
042b009cdd1ef1d0e9b74e35691cad8d,219,2,1,0,389.0,1,3,Regular
0435835f062a422e29d5f190c5b90e01,130,3,1,0,656.43,2,5,Muito bom
043aee247e71edff7045664609f4d806,413,1,3,2,359.65,1,4,Bom
0451ef5a31cea3e14ce02d768d7c9943,442,1,2,1,345.48,1,3,Regular
04520e5f2b9dc1f8f7ccd63f6ab2db38,222,2,1,0,399.0,1,3,Regular
04544a89f79714c0abcc3ae49e884209,584,0,1,0,6.99,0,0,Ruim
04547212cbf1728ac927152c5fcd0860,160,3,1,0,279.9,1,4,Bom
